White_Unified_Name,Black_Sex,PlyCount,RatingDiff,Opening,IsAggressive
"Hauge, Lars Oskar",M,42,-18,"Pirc Defense: Austrian Attack, Weiss Variation",True
Tomek Jaskółka,M,104,-132,Sicilian Defense: Kronberger Variation,True
Рустам Кайырбеков,M,64,-130,"Grünfeld Defense: Three Knights Variation, Petrosian System",False
smurf42,M,64,-37,Queen's Pawn Game: Chigorin Variation,False
wanyaland,M,104,-50,"King's Indian Defense: Fianchetto Variation, Panno Variation",True
wanyaland,M,74,-214,English Opening: Agincourt Defense,False
wanyaland,M,92,-237,English Opening: Agincourt Defense,False
Daniel Rodriguez,M,28,-226,"Caro-Kann Defense: Two Knights Attack, Mindeno Variation",True
Daniel Rodriguez,M,50,-248,"Italian Game: Two Knights Defense, Polerio Defense, Bishop Check Line",False
"Okike, David",M,88,-291,Sicilian Defense: Najdorf Variation,True
"Okike, David",M,80,-306,"Ruy Lopez: Closed Variations, Keres Defense",False
"Okike, David",M,142,-318,"Ruy Lopez: Morphy Defense, Chigorin Defense, Panov System",False
wanyaland,M,162,-11,Benko Gambit,True
wanyaland,M,72,-152,King's Indian Attack,True
Kumi,M,60,162,French Defense: Exchange Variation,False
Orlando_Gloom,M,90,80,"Nimzo-Indian Defense: Panov Attack, Main Line",True
"Rodrigue-Lemieux, Shawn",M,52,-155,King's Indian Attack: Symmetrical Defense,True
"Rodrigue-Lemieux, Shawn",M,72,-185,Sicilian Defense: Keres Variation,True
Алексей Яровинский,M,94,31,Nimzo-Larsen Attack: Classical Variation,True
FM/AGM TYKHON CHERNIAIEV,M,54,-230,"Russian Game: Classical Attack, Jaenisch Variation",True
ZibbitVideos,M,130,74,"English Opening: King's English Variation, Taimanov Variation",False
Kabeljaukrieger,M,68,-195,Sicilian Defense: Canal-Sokolsky Attack,True
wanyaland,M,66,-182,English Opening: Agincourt Defense,False
pasteta,M,124,88,"Italian Game: Giuoco Pianissimo, Normal",False
Eddy Ravelo,M,76,-156,Benoni Defense: Mikenas Variation,False
smurf42,M,104,-19,Trompowsky Attack: Classical Defense,True
Adegboyega Adebayo,F,112,37,Queen's Pawn Game: London System,False
pasteta,M,76,-139,Sicilian Defense: Keres Variation,True
"Srbis, Jurica",M,100,130,"Sicilian Defense: French Variation, Westerinen Attack",True
"Srbis, Jurica",M,46,71,Czech Defense,False
Евгений Тараненко,M,120,-209,Sicilian Defense: Closed Variation,True
Евгений Тараненко,M,32,-228,Van Geet Opening,False
Евгений Тараненко,M,68,-204,Anderssen Opening,False
Евгений Тараненко,M,120,-224,Scotch Game: Schmidt Variation,False
"Srbis, Jurica",M,66,67,"Sicilian Defense: Canal Attack, Haag Gambit",True
"Shevchenko, Danylo",M,76,-99,"Sicilian Defense: Smith-Morra Gambit Accepted, Scheveningen Formation",True
Maci,M,116,-39,"King's Indian Defense: Normal Variation, King's Knight Variation",True
Maci,M,64,-75,"Benko Gambit Accepted, Fully Accepted Variation",True
Karlos_ulsk,M,82,-217,English Opening: Great Snake Variation,False
"Kantans, Toms",M,64,-135,French Defense: Steiner Variation,False
Jessel Mwadzura,M,94,-154,"Sicilian Defense: Najdorf Variation, Zagreb (Fianchetto) Variation",True
Jessel Mwadzura,M,114,-182,"Sicilian Defense: Najdorf Variation, Zagreb (Fianchetto) Variation",True
"Khairat, Ahmed",M,28,-244,Caro-Kann Defense: von Hennig Gambit,True
"Gwaze, Robert",M,98,13,Scandinavian Defense: Gubinsky-Melts Defense,False
"Gwaze, Robert",M,102,228,Caro-Kann Defense: Classical Variation,False
James Jackson,M,82,-137,"Caro-Kann Defense: Advance Variation, Botvinnik-Carls Defense",False
vliegmachinist,M,64,-175,"French Defense: Steinitz Variation, Boleslavsky Variation",False
Spinaltap,M,148,166,Semi-Slav Defense: Quiet Variation,False
"Jovic, Stevan",M,30,-155,Tarrasch Defense: Symmetrical Variation,False
"Jovic, Stevan",M,42,-180,Benoni Defense: King's Pawn Line,False
wanyaland,M,68,-121,Benoni Defense: Fianchetto Variation,False
Jann,M,97,-174,French Defense: Exchange Variation,False
"Moiseenko, Vadim",M,54,0,French Defense: Exchange Variation,False
Stein55,M,76,1,Modern Defense: Averbakh Variation,False
LittlePumpkin,M,110,18,Semi-Slav Defense: Quiet Variation,False
"Jovic, Stevan",M,86,-142,Grünfeld Defense: Exchange Variation,False
Konstantin,M,80,-169,"Italian Game: Two Knights Defense, Modern Bishop's Opening",False
Jann,M,136,-119,"Sicilian Defense: O'Kelly Variation, Kieseritzky System",True
Jann,M,122,-128,"Sicilian Defense: O'Kelly Variation, Normal System",True
Orlando_Gloom,M,78,45,Sicilian Defense: Najdorf Variation,True
wanyaland,M,110,-336,King's Indian Attack,True
wanyaland,M,108,-325,King's Indian Attack,True
Karlos_ulsk,M,92,59,English Defense #2,False
wanyaland,M,98,-39,English Opening: Caro-Kann Defensive System,False
"Servat, Roberto",M,148,151,"Caro-Kann Defense: Advance Variation, Tal Variation",False
Masya1984,M,106,34,"Sicilian Defense: Alapin Variation, Stoltz Attack",True
Евгений Тараненко,M,108,-174,Anderssen Opening,False
Евгений Тараненко,M,72,-199,Van Geet Opening,False
Евгений Тараненко,M,50,-210,"Grünfeld Defense: Three Knights Variation, Burille Variation, Reversed Tarrasch",False
ViejoTortuga,M,152,157,Sicilian Defense: Mengarini Variation,True
ViejoTortuga,M,62,32,"Queen's Gambit Declined: Harrwitz Attack, Fianchetto Defense",True
runittwice,M,198,166,Modern Defense,False
pasteta,M,78,-49,Caro-Kann Defense: Panov Attack #2,True
"Koutsin, Sergey",M,94,-110,"King's Indian Defense: Orthodox Variation, Classical System, Neo-Classical Line",True
"Atanejhad, Sahebali",M,74,-149,Nimzo-Indian Defense,False
flamaster7,M,134,-86,"Sicilian Defense: Accelerated Dragon, Modern Variation",True
Carrygun,M,20,-99,Sicilian Defense: Closed Variation,True
"Srbis, Jurica",M,44,-25,Pirc Defense: 150 Attack,True
jsl,M,20,76,"Pterodactyl Defense: Eastern, Rhamphorhynchus",False
wanyaland,M,50,46,English Opening: Anglo-Indian Defense,False
wanyaland,M,50,20,"English Opening: Agincourt Defense, Neo-Catalan Declined",False
wanyaland,M,100,-43,Réti Opening #2,False
Adegboyega Adebayo,M,74,173,Slav Defense #2,False
"Kovalchuk, Alexey",M,118,-39,Queen's Pawn Game: Mason Attack,True
"Zwirs, Nico",M,72,64,"Queen's Gambit Accepted: Classical Defense, Steinitz Variation, Development Variation",True
Horacio Pereyra,M,60,-202,Scotch Game: Schmidt Variation,False
"Tekeyev, Zaur",M,50,4,Blumenfeld Countergambit #2,False
"Srbis, Jurica",M,68,21,Richter-Veresov Attack #2,True
"Tekeyev, Zaur",M,60,5,Benoni Defense: Knight's Tour Variation,False
Héctor Delgado Ramos,M,46,115,"Queen's Gambit Refused: Chigorin Defense, Main Line",True
"Tekeyev, Zaur",M,144,-54,Four Knights Game,False
jsl,M,92,330,Caro-Kann Defense: Exchange Variation,False
"Plotkin, Mark",M,88,-19,Benoni Defense: Four Pawns Attack,True
"Srbis, Jurica",M,46,55,Modern Defense: Modern Pterodactyl,False
"Plotkin, Mark",M,80,-31,"Sicilian Defense: Wing Gambit, Marshall Variation",True
"Srbis, Jurica",M,180,114,Richter-Veresov Attack,True
Konstantin,F,78,80,Italian Game: Evans Gambit Accepted,True
Konstantin,F,92,72,"King's Gambit Accepted, Abbazia Defense",True
"Klekowski, Maciej",M,70,196,Sicilian Defense: Hyperaccelerated Fianchetto,True
"ADU, Oladapo",M,62,-112,Sicilian Defense: Paulsen Variation,True
"Klekowski, Maciej",M,35,127,Modern Defense: Standard Defense,False
"Koutsin, Sergey",M,102,-161,Queen's Gambit Declined: Three Knights Variation,True
pasteta,M,97,-29,Sicilian Defense: Keres Variation,True
Morphy123,M,120,69,Caro-Kann Defense: Breyer Variation,False
Morphy123,M,42,55,Sicilian Defense: Alapin Variation,True
Christian Toth,M,102,173,Indian Game,False
chargemax23,M,92,-65,King's Indian Defense: Normal Variation,True
Vjacheslav Weetik (Витик),M,84,14,"Alekhine Defense: Modern Variation, Alburt Variation",False
"ADU, Oladapo",M,88,-63,"Caro-Kann Defense: Karpov Variation, Smyslov Variation",False
"Punin, Andrii",M,56,-16,"Sicilian Defense: Nimzowitsch Variation, Main Line",True
"Klekowski, Maciej",M,72,171,Modern Defense: Standard Line,False
"Tay, Junior",M,54,-132,Bishop's Opening: Vienna Hybrid,False
"Macovei, Andrei",M,44,-136,French Defense: Paulsen Variation,False
"Velten, Paul",M,74,152,East Indian Defense,False
Silvio Andrés Llorens,M,52,-76,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan",False
Iván Vallés Moreno,M,76,-61,Caro-Kann Defense: Classical Variation,False
runittwice,M,46,173,Queen's Gambit Declined: Three Knights Variation,True
runittwice,M,168,156,"Caro-Kann Defense: Advance Variation, Short Variation",False
"Plotkin, Mark",M,128,76,"Sicilian Defense: Najdorf Variation, Adams Attack",True
"Hauge, Lars Oskar",M,54,-45,"Pirc Defense: Austrian Attack, Weiss Variation",True
"Hauge, Lars Oskar",M,80,-87,Borg Defense: Borg Gambit,True
"Plotkin, Mark",M,94,106,Bird Opening,False
"Andonovski, Ljubisa",M,62,-49,Indian Game,False
Carrygun,M,44,-77,Sicilian Defense: Closed Variation,True
sahberk,M,46,-190,"Neo-Grünfeld Defense: Classical Variation, Modern Defense",False
Morphy123,M,48,113,Caro-Kann Defense: Breyer Variation,False
"ADU, Oladapo",M,82,-91,Sicilian Defense: Najdorf Variation,True
Blackoperator,M,54,27,Sicilian Defense: Godiva Variation,True
LittlePumpkin,M,68,-32,"King's Indian Defense: Normal Variation, King's Knight Variation",True
"Spichkin, Alexander",M,64,-171,Trompowsky Attack,True
ZibbitVideos,M,118,-142,English Opening: Anglo-Indian Defense,False
Iván Vallés Moreno,M,36,-139,Caro-Kann Defense: Tartakower Variation,False
hyperreal,M,74,-41,Torre Attack #2,True
hyperreal,M,32,-90,Slav Defense: Exchange Variation,False
smurf42,M,72,-165,Trompowsky Attack,True
"Hauge, Lars Oskar",M,66,164,Benoni Defense: Four Pawns Attack,True
smurf42,M,120,-130,Queen's Pawn Game: Chigorin Variation,False
laguun,M,100,-58,Réti Opening: Advance Variation,False
Pap Gyula,M,110,280,Modern Defense: Averbakh Variation,False
Jessel Mwadzura,M,66,-353,"Sicilian Defense: Kan Variation, Knight Variation",True
Jessel Mwadzura,M,78,-363,Sicilian Defense: Kan Variation,True
Jessel Mwadzura,M,94,-374,Sicilian Defense: Smith-Morra Gambit Deferred,True
Jessel Mwadzura,M,94,-384,Sicilian Defense: Closed #2,True
Jessel Mwadzura,M,42,-394,Grünfeld Defense,False
Jano Samuel Pacho,M,114,-140,"Caro-Kann Defense: Two Knights Attack, Mindeno Variation, Exchange Line",True
chesshoudini,M,62,-240,Nimzo-Indian Defense: Classical Variation,False
Harlan_Coben,M,68,118,"King's Indian Defense: Fianchetto Variation, Panno Variation",True
Harlan_Coben,M,164,44,"Sicilian Defense: Kan Variation, Maróczy Bind, Réti Variation",True
Harlan_Coben,M,92,216,"King's Indian Defense: Fianchetto Variation, Panno Variation",True
"Voinikonis, Nikita",M,64,-126,"King's Indian Defense: Normal Variation, King's Knight Variation",True
Karlos_ulsk,M,64,-19,English Opening: Great Snake Variation,False
"Abrashkin, Boris",M,112,-174,"Queen's Gambit Declined: Exchange Variation, Positional Variation",True
"Pfreundt, Jakob",M,104,188,"Sicilian Defense: Accelerated Dragon, Maróczy Bind, Gurgenidze Variation",True
Mig_31,M,92,-15,"Ruy Lopez: Closed Variations, Bogoljubov Variation",False
Mig_31,M,102,-33,King's Indian Defense: Orthodox Variation,True
Mig_31,M,80,-70,"King's Indian Defense: Fianchetto Variation, Simagin Variation",True
Mig_31,M,92,-61,King's Indian Defense: Orthodox Variation,True
chechess888,M,86,-177,Russian Game: Cozio (Lasker) Attack,True
chechess888,M,42,-201,"Ruy Lopez: Berlin Defense, Rio de Janeiro Variation",False
chechess888,M,74,-176,"Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation #2",True
chechess888,M,74,-201,"Ruy Lopez: Cozio Defense, Paulsen Variation",False
Papasimakopoulos Alexandros,M,166,29,Benoni Defense: Modern Variation,False
Papasimakopoulos Alexandros,M,54,-9,Benoni Defense: Uhlmann Variation,False
FlinkerFreddy,M,60,-214,"Caro-Kann Defense: Classical Variation, Main Line",False
Papasimakopoulos Alexandros,M,132,-27,Old Benoni Defense,False
Евгений Тараненко,M,48,-196,Sicilian Defense: Closed Variation,True
jsl,F,96,-56,"Slav Defense: Quiet Variation, Pin Defense",False
hyperreal,M,66,-96,Nimzo-Larsen Attack: Modern Variation #4,True
hyperreal,M,90,-39,Réti Opening: Réti Accepted,False
hyperreal,M,44,13,Sicilian Defense: Hyperaccelerated Dragon,True
"Servat, Roberto",M,84,12,"Caro-Kann Defense: Advance Variation, Botvinnik-Carls Defense",False
Mieszko Miś,M,64,-86,"Queen's Indian Defense: Fianchetto Variation, Nimzowitsch Variation",False
Papasimakopoulos Alexandros,M,142,26,Benoni Defense: Czech Benoni Defense,False
Papasimakopoulos Alexandros,M,188,-16,Benoni Defense: Czech Benoni Defense,False
Orlando_Gloom,M,120,-55,King's Knight Opening: Normal Variation,False
James Jackson,M,74,-159,"Sicilian Defense: Accelerated Dragon, Maróczy Bind",True
Adegboyega Adebayo,M,84,-86,Modern Defense,False
Konstantin,M,36,-70,Sicilian Defense: Mengarini Variation,True
Konstantin,M,96,-102,Sicilian Defense: Mengarini Variation,True
Konstantin Loy,M,92,-164,"Pirc Defense: Austrian Attack, Dragon Formation",True
"Djordjevic, Vuk",M,66,-125,Trompowsky Attack,True
Morphy123,M,96,311,Modern Defense,False
Jessel Mwadzura,M,80,-176,Modern Defense: Standard Defense,False
gus_fring,M,80,-45,Indian Game,False
"Aydincelebi, Kagan",M,60,-128,Caro-Kann Defense: Panov Attack #2,True
"Aydincelebi, Kagan",M,34,-158,"French Defense: Winawer Variation, Advance Variation #3",False
"Yeke, Serkan",M,118,-146,"English Opening: Anglo-Indian Defense, King's Knight Variation",False
James Jackson,M,40,-97,French Defense: Normal Variation,False
James Jackson,M,66,-131,"French Defense: Advance Variation, Euwe Variation",False
picklebick,M,90,-56,Sicilian Defense: Hyperaccelerated Fianchetto,True
picklebick,M,68,-102,"Scotch Game: Scotch Gambit, Advance Variation",True
"Aydincelebi, Kagan",M,55,-111,Goldsmith Defense,False
is_er_nog_hoop,F,88,-43,Polish Opening,False
"Mandura, Tijana",M,48,92,Indian Game: Anti-Nimzo-Indian,False
"Rosen, Eric",M,166,-76,Modern Defense: Standard Defense,False
Nazmi Can Doğan,M,90,34,Benoni Defense: Benoni-Indian Defense,False
Алексей Яровинский,M,70,-26,Sicilian Defense: Hyperaccelerated Dragon,True
"Srbis, Jurica",M,42,44,"French Defense: Winawer Variation, Advance Variation",False
Konstantin,M,136,-39,Sicilian Defense: Mengarini Variation,True
lovlas,M,82,35,"Slav Defense: Quiet Variation, Schallopp Defense",False
abricot,M,76,-107,Scandinavian Defense: Portuguese Variation,False
is_er_nog_hoop,M,64,49,Grob Opening,False
Maci,M,86,70,Pirc Defense #5,False
jimakos,M,70,121,"King's Indian Defense: Fianchetto Variation, Uhlmann-Szabo System",True
Fernando Osorio,M,128,-130,Nimzo-Larsen Attack: Modern Variation #4,True
wanyaland,M,130,-173,"English Opening: Agincourt Defense, Catalan Defense Accepted",False
Víctor Mago,M,56,75,Slav Defense: Exchange Variation,False
Odirovski,M,62,110,Zukertort Opening: Pirc Invitation,False
Gabix94,M,150,38,"King's Indian Defense: Fianchetto Variation, Yugoslav Variation, Exchange Line",True
"Srbis, Jurica",M,54,-5,"Sicilian Defense: Nimzowitsch Variation, Advance Variation",True
smurf42,M,70,13,French Defense: Burn Variation,False
lovlas,M,80,201,Bogo-Indian Defense: Nimzowitsch Variation,False
lovlas,M,90,79,Philidor Defense: Lion Variation,False
"Vargas Arteaga, Alexis",M,86,101,"Sicilian Defense: Najdorf Variation, Neo-Classical Defense",True
Jano Samuel Pacho,M,52,-57,Semi-Slav Defense,False
"Atanejhad, Sahebali",M,66,-196,"King's Indian Defense: Sämisch Variation, Double Fianchetto",True
James Jackson,M,68,-49,Sicilian Defense: Smith-Morra Gambit,True
James Jackson,M,38,-85,"Italian Game: Two Knights Defense, Fritz Variation",False
manneredmonkey,M,150,63,English Opening: King's English Variation,False
manneredmonkey,M,74,34,English Opening: King's English Variation,False
Daniel Rodriguez,M,120,-45,"Italian Game: Two Knights Defense, Polerio Defense, Bishop Check Line",False
Konstantin,M,106,28,"Italian Game: Two Knights Defense, Modern Bishop's Opening",False
Алексей Яровинский,M,68,39,Sicilian Defense: Closed Variation,True
alexey4eg2,M,46,-99,English Opening: The Whale,False
manneredmonkey,M,64,-144,English Opening: Anglo-Indian Defense,False
Иван Провоторов,M,110,-8,King's Indian Defense: Kramer Variation,True
Иван Провоторов,M,118,-27,Modern Defense,False
Алексей Яровинский,M,60,-41,Pirc Defense: Classical Variation,False
manneredmonkey,M,84,-71,English Opening,False
manneredmonkey,M,58,-120,English Opening,False
Zsolt Szilágyi,M,100,-50,King's Indian Attack,True
Illia Golichenko,M,54,-134,"Benoni Defense: Fianchetto Variation, Hastings Defense, Main Line",False
sewin16,M,64,-59,Sicilian Defense: Najdorf Variation,True
Akintoye Abdulraheem,M,78,-171,Modern Defense: Standard Defense,False
Akintoye Abdulraheem,M,82,-194,Zukertort Opening: Double Fianchetto Attack,True
Akintoye Abdulraheem,M,44,-216,Pirc Defense #4,False
Akintoye Abdulraheem,M,78,-236,Pirc Defense #5,False
Akintoye Abdulraheem,M,64,-177,Sicilian Defense: Closed #2,True
Akintoye Abdulraheem,M,88,-155,"Sicilian Defense: Wing Gambit, Carlsbad Variation",True
"Neugebauer, Martin",M,106,144,"Pterodactyl Defense: Eastern, Pteranodon",False
"Sevgi, Volkan",M,110,129,Modern Defense: Pseudo-Austrian Attack,True
Papasimakopoulos Alexandros,M,108,-52,English Defense,False
"Spichkin, Alexander",M,32,-101,Queen's Pawn Game: Levitsky Attack,True
flamaster7,M,82,-6,"French Defense: Tarrasch Variation, Modern System",False
Gabix94,M,78,108,"French Defense: Winawer Variation, Alekhine-Maróczy Gambit",True
Ömer Faruk Özer,M,160,-181,"Ruy Lopez: Closed Variations, Delayed Exchange",False
Ruediger1,M,70,168,Robatsch (Modern) Defense,False
"Kumic, Filip",M,152,21,Zukertort Opening: Pirc Invitation,False
alexey4eg2,M,74,-65,Queen's Pawn Game: Steinitz Countergambit,False
Horacio Pereyra,M,76,-207,"French Defense: Classical Variation, Richter Attack #2",True
"Spichkin, Alexander",M,66,-273,Trompowsky Attack,True
Roi Reinaldo Castiñeira,M,98,192,"Sicilian Defense: Closed Variation, Traditional",True
pasteta,M,72,129,"English Opening: Anglo-Indian Defense, King's Indian Formation",True
chessmmaster,M,38,-67,Sicilian Defense: Paulsen Variation,True
chessmmaster,M,67,-73,"Modern Defense: Two Knights Variation, Suttles Variation",False
chessmmaster,M,64,-106,"Modern Defense: Two Knights Variation, Suttles Variation",False
Karlos_ulsk,M,147,30,English Opening,False
Karlos_ulsk,M,100,27,Modern Defense: Pseudo-Austrian Attack,True
Karlos_ulsk,M,120,-29,Philidor Defense: Lion Variation,False
LittlePumpkin,M,124,306,Bogo-Indian Defense: Wade-Smyslov Variation,False
"Okike, David",M,38,-194,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Panov Variation",True
"Okike, David",M,134,-216,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Panov Variation",True
"Vargas Arteaga, Alexis",M,78,225,Sicilian Defense: Classical Variation,True
Omar García Blanco,M,62,31,"Caro-Kann Defense: Panov Attack, Modern Defense",True
Konstantin,M,36,4,Italian Game: Evans Gambit Accepted,True
hyperreal,M,128,-47,Zukertort Opening: Nimzo-Larsen Variation,False
sewin16,M,38,-22,"Scotch Game: Classical Variation, Intermezzo Variation",False
"Sevgi, Volkan",M,106,-93,Pirc Defense #4,False
"Gwaze, Robert",M,96,32,"Italian Game: Classical Variation, Greco Gambit",True
Francisco,M,52,239,"Semi-Slav Defense: Botvinnik System, Ekstrom Variation",False
"Vargas Arteaga, Alexis",M,66,84,"Scotch Game: Classical Variation, Intermezzo Variation",False
"Shevchenko, Danylo",M,85,-57,"Pirc Defense: Austrian Attack, Dragon Formation",True
"Shevchenko, Danylo",M,88,-82,"Sicilian Defense: Smith-Morra Gambit Declined, Push Variation",True
"Vargas Arteaga, Alexis",M,158,99,"Scotch Game: Classical Variation, Intermezzo Variation",False
"Shevchenko, Danylo",M,78,-72,"Sicilian Defense: Smith-Morra Gambit Declined, Push Variation",True
"Shevchenko, Danylo",M,62,-105,"Sicilian Defense: Smith-Morra Gambit Declined, Push Variation",True
"Vargas Arteaga, Alexis",M,84,106,"Scotch Game: Classical Variation, Intermezzo Variation",False
Iván Vallés Moreno,M,86,94,Giuoco Piano,False
Héctor Delgado Ramos,M,104,-164,French Defense: Paulsen Variation,False
Héctor Delgado Ramos,M,56,-193,Queen's Gambit Accepted: Old Variation,True
Adegboyega Adebayo,M,54,-238,Queen's Gambit Accepted: Janowski-Larsen Variation,True
"Ali, Muhammad Lutfi",M,102,-80,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,True
"Ali, Muhammad Lutfi",M,66,-59,Scandinavian Defense: Schiller-Pytel Variation,False
Adegboyega Adebayo,M,46,44,Trompowsky Attack,True
Pap Gyula,M,86,160,Four Knights Game: Scotch Variation Accepted,False
Erottev,M,92,-135,Indian Game: Przepiorka Variation,False
Erottev,M,100,-161,Torre Attack #2,True
Erottev,M,168,-187,Indian Game: London System,False
Daskevich,M,62,51,Four Knights Game: Gunsberg Variation,False
Odirovski,M,76,198,Zukertort Opening: Kingside Fianchetto,False
"Spichkin, Alexander",M,48,-244,"Modern Defense: Lizard Defense, Pirc-Diemer Gambit",True
HooCee,M,120,-128,Ruy Lopez: Exchange Variation,False
Erottev,M,110,-181,Torre Attack #2,True
Erottev,M,108,-204,Blumenfeld Countergambit #2,False
Erottev,M,58,-155,"Queen's Indian Defense: Classical Variation, Traditional Variation, Nimzowitsch Line",False
"Srbis, Jurica",M,56,21,Modern Defense: Standard Defense,False
"Plotkin, Mark",M,72,-27,Pirc Defense #2,False
"Plotkin, Mark",M,144,-73,King's Indian Attack: Wahls Defense,True
"Spichkin, Alexander",M,120,-222,Trompowsky Attack,True
"Servat, Roberto",M,114,-73,"Ruy Lopez: Closed, 7...O-O",False
hyperreal,M,134,-47,Modern Defense,False
"Jovic, Stevan",M,105,-49,Nimzo-Indian Defense: St. Petersburg Variation,False
Алексей Яровинский,M,112,136,Czech Defense,False
"Spichkin, Alexander",M,136,-155,Trompowsky Attack,True
"Spichkin, Alexander",M,88,-290,Trompowsky Attack: Classical Defense,True
Petar Arnaudov,M,80,-34,"English Opening: Anglo-Indian Defense, Anti-Anti-Grünfeld",False
"Crispin Ferreras, Darvi Abraham",M,84,-371,"Ruy Lopez: Morphy Defense, Anderssen Variation",False
"Spichkin, Alexander",M,62,-80,Trompowsky Attack,True
"Spichkin, Alexander",M,94,-90,Queen's Pawn Game: Levitsky Attack,True
Николай Оглоблин,M,94,115,Modern Defense,False
Luu77,M,90,-124,"Slav Defense: Quiet Variation, Schallopp Defense",False
Bibekthing,M,76,-210,Sicilian Defense: Smith-Morra Gambit,True
"Maidel, Anton",M,114,105,Sicilian Defense: Kalashnikov Variation,True
"Tekeyev, Zaur",M,120,-42,"Four Knights Game: Spanish Variation, Rubinstein Variation",False
"Kovalchuk, Alexey",M,98,82,Modern Defense: Averbakh Variation,False
gus_fring,M,90,-175,Indian Game,False
Papasimakopoulos Alexandros,M,82,-14,"Nimzo-Indian Defense: Classical Variation, Noa Variation",False
Odirovski,M,148,279,Queen's Pawn Game: Torre Attack,True
Fernando Osorio,M,60,-244,Nimzo-Larsen Attack: Modern Variation #4,True
"Voinikonis, Nikita",M,30,52,"Italian Game: Two Knights Defense, Modern Bishop's Opening",False
"Voinikonis, Nikita",M,64,3,Blumenfeld Countergambit #2,False
"Srbis, Jurica",M,57,19,"Queen's Pawn Opening: Veresov Attack, Irish Gambit",True
Papasimakopoulos Alexandros,M,124,-75,Modern Defense: Averbakh Variation,False
Papasimakopoulos Alexandros,M,84,-66,Queen's Gambit Declined: Charousek (Petrosian) Variation,True
Papasimakopoulos Alexandros,M,104,-99,"Queen's Gambit Declined: Semi-Tarrasch Defense, Pillsbury Variation",True
Papasimakopoulos Alexandros,M,68,-128,"Queen's Gambit Declined: Neo-Orthodox Variation, Main Line",True
"Arslanov, Shamil",M,156,146,Slav Defense: Exchange Variation,False
Papasimakopoulos Alexandros,M,102,-101,"Queen's Gambit Declined: Modern, Knight Defense #3",True
"Shevchenko, Danylo",M,56,-85,French Defense: Advance Variation #2,False
"Arslanov, Shamil",M,76,103,English Opening: Anglo-Lithuanian Variation,False
"Shevchenko, Danylo",M,122,-74,French Defense: Advance Variation #2,False
Papasimakopoulos Alexandros,M,100,-100,"Queen's Gambit Declined: Orthodox Defense, Rubinstein Variation",True
Stein55,M,58,-27,Semi-Slav Defense: Normal Variation,False
"Arslanov, Shamil",M,102,137,Queen's Pawn Game: Chigorin Variation,False
"Shevchenko, Danylo",M,66,-106,French Defense: Advance Variation #2,False
"Shevchenko, Danylo",M,84,-138,French Defense: Advance Variation #2,False
Alex Ivanov (Алексей Иванов),M,54,-186,"French Defense: Classical Variation, Swiss Variation",False
"Gedajlovic, Max",M,62,-207,Wade Defense,False
"Gedajlovic, Max",M,82,-230,Rat Defense: English Rat,False
manneredmonkey,M,53,-232,"English Opening: Symmetrical Variation, Mecking Variation",False
HooCee,M,74,-154,"English Opening: Agincourt Defense, Neo-Catalan Declined",False
wanyaland,M,76,-68,Polish Opening: Outflank Variation,False
Joachim B. Nilsen,M,108,303,Nimzo-Larsen Attack: Classical Variation,True
Kumi,M,50,155,"Sicilian Defense: Snyder Variation, Queen Fianchetto Variation",True
Иван Провоторов,M,30,-23,"English Opening: King's English Variation, Four Knights Variation, Quiet Line #3",False
ASVZ,M,70,-177,French Defense: Advance Variation,False
Banele Fortune Mhango,M,86,-153,"Sicilian Defense: Sozin Attack, Flank Variation",True
AMADAN,M,66,-22,Slav Defense: Exchange Variation,False
AMADAN,M,42,-18,"French Defense: Advance Variation, Milner-Barry Gambit",True
Banele Fortune Mhango,M,120,-152,Modern Defense,False
AMADAN,M,106,-14,"French Defense: Tarrasch Variation, Closed Variation, Main Line",False
Banele Fortune Mhango,M,74,-135,Slav Defense #2,False
AMADAN,M,102,-56,Queen's Pawn Game: Mason Attack,True
Banele Fortune Mhango,M,82,-162,English Opening,False
AMADAN,M,69,-93,"Sicilian Defense: Richter-Rauzer Variation, Neo-Modern Variation",True
BIG_Pirate,M,102,-204,Slav Defense: Modern,False
Kanthecarowin,M,88,73,"King's Indian Defense: Orthodox Variation, Gligoric-Taimanov System",True
Владимир Михайловский,M,58,-174,Scotch Game,False
Владимир Михайловский,M,72,-153,King's Indian Attack,True
Владимир Михайловский,M,40,-179,Nimzo-Larsen Attack: Modern Variation #3,True
Иван Провоторов,M,92,20,"Caro-Kann Defense: Accelerated Panov Attack, Modern Variation",True
"Djordjevic, Vuk",M,49,-1,French Defense: Exchange Variation,False
Rahman2017,M,90,-91,Nimzo-Indian Defense: Reshevsky Variation,False
"Solano Cuya, Bryan",M,120,-115,Semi-Slav Defense: Normal Variation,False
"Arslanov, Shamil",M,58,130,Queen's Gambit Accepted: Janowski-Larsen Variation,True
Anurag Mhamal,M,48,76,English Opening: Anglo-Lithuanian Variation,False
Arturo Augusto Fernandez Hernandez,M,38,-76,"Queen's Pawn Game: Colle System, Anti-Colle",False
