username,id,title,name,country,bio,fide_rating,uscf_rating,ecf_rating,blitz_rating,blitz_prog,blitz_games,rapid_rating,rapid_prog,rapid_games,bullet_rating,classical_rating,url,verified
RebeccaHarris,rebeccaharris,GM,,US,,,,,2834,1,2364,2119,99,14,3205,2312,,
SuPErlia,superlia,WFM,,RS,,,,,2203,108,415,2306,9,44,2051,1500,,
Kaer_Morhen,kaer_morhen,CM,,,,,,,1500,0,0,1500,0,0,2415,1500,,
TooBadForYou,toobadforyou,NM,,US,"Hi, my name is Brandon. I've been playing chess for 12 years.",,,,2496,-68,48,1907,0,2,2531,1721,,
TheNotoriousNH,thenotoriousnh,CM,,,,,,,2651,-10,1673,1500,0,0,2793,1500,,
Siphephile2001,siphephile2001,CM,,US,"Chess Master!
Available for lessons!
Email:futerimplayer@gmail.com",2069.0,,,2411,1,617,2405,25,81,2624,1500,,
PawnSacrifice98,pawnsacrifice98,NM,Riccardo Marzaduri,IT,,2207.0,,,2417,-16,825,2478,-61,278,2530,1906,,
Reynold9402,reynold9402,FM,Reynold Fernández,CU,,2325.0,,,2336,6,16753,2214,0,4,2403,1660,,
szefru,szefru,WFM,Fruzsina Szente-Varga,HU,"Szia! I'm Fruzsi, a twitch streamer, feel free to check me out on https://www.twitch.tv/szefru! :)

https://imgur.com/1UoF3k9",2100.0,,,2312,-9,1757,2299,-45,23,2517,1509,,
h-bar,h-bar,FM,,AQ,,,,,2354,-10,17391,2473,53,768,2352,2502,,
YoNoMateAMiHijo,yonomateamihijo,FM,,,,,,,2416,3,302,1500,0,0,2462,1683,,
mazetofonias,mazetofonias,FM,,SR,,2343.0,,,2700,12,2047,1955,0,8,3000,1500,,
MrSuccess,mrsuccess,IM,Robert Gwaze,ZW,"Hello! My name is Robert Gwaze and I'm an International Master. Apart from chess, I'm very much interested in sports like football and tennis and I like to express myself creatively by dancing and playing the keyboard. What I like about chess is its nature as a mind-enhancer. My favorite opening is the Paulsen Sicilian and Bobby Fischer is the player I most gravitate towards.",2422.0,,,2594,-35,8572,2296,-80,547,2636,2182,,
Tapson67,tapson67,WFM,Aliaksandra Tarasenka,,,,,,2522,-30,3119,2141,258,23,2537,1500,,
the_Hudri,the_hudri,FM,"If you've found me,",,you know who I am,,,,2502,-11,930,2536,-63,135,2652,2234,,
simon2006,simon2006,FM,,,,,,,2439,-24,472,1500,0,0,2409,1500,,
jamesARDEN13,jamesarden13,FM,,_earth,"Atabs

https://i.imgur.com/f0HjxMN.jpg",,,,2845,6,2088,2514,44,108,3022,1853,,
thunderation,thunderation,WFM,,,titrations are pretty,,,,2229,20,480,2445,43,120,2307,1500,,
dkb12085,dkb12085,NM,,,,,,,2329,-4,7613,2420,7,1759,2578,2164,,
ralfi1,ralfi1,FM,Ralph Blasek,DE,FM,2250.0,,,2401,3,9437,2278,37,541,2462,1500,,
Joven_jubilado,joven_jubilado,CM,,_earth,,2100.0,,,2389,20,2462,1500,0,0,2590,1500,,
EltajSafarli,eltajsafarli,GM,Eltaj Safarli,AZ,"GM and chess coach.
If interested in lessons or training games please email me to: krasavchik_335@yahoo.com.
I am also available for team tournaments. for more info: https://lichess.org/coach/EltajSafarli

Official Chess Club on Lichess: 
https://lichess.org/team/gm-eltaj-safarlis-chess-club

Good luck to all!",2694.0,,,2698,-112,1457,2550,34,23,2977,2172,,
AlexanderPrincipe,alexanderprincipe,FM,,PE,,2295.0,,,2340,-46,875,2361,0,4,2754,1500,,
gsvc,gsvc,GM,Guillermo Vazquez,FI,"https://i.imgur.com/ktIZpOc.png

https://chessmood.com/?r=gsvc",2571.0,,,2928,7,7675,2847,27,190,3123,2169,,
South4fricanSamurai1,south4fricansamurai1,CM,Kenneth Sean Willenberg,ZA,"International FIDE Player Title: CM Master Title {achieved 2020}
- Former 5 Time South African National Champion {U16-U18}

International FIDE Trainer Title: Schools Instructor {achieved 2023}
- South African National  Youth Team Coach (2025 - Current)
- National Selector ( Chess South Africa Selections Commission)",2269.0,,,2145,22,305,1872,-97,74,2484,1797,,
sandy006,sandy006,WNM,Sandra Guillen,MX,,1942.0,,,2163,45,3090,2013,74,59,1918,1500,,
Panesso,panesso,IM,Henry Panesso,CO,"Entrenador de Ajedrez  con 15 años de experiencia
Entrenador selección Antioquia, entrenador selección Inder Medellín, entrenador deportistas nivel 0 hasta jugadores de 2400,maestros internacionales y grandes maestros.
Elo máximo alcanzado. 2427, norma de GM
En lo académico soy lincenciado en Educación, especialista en Neurodesarrollo y aprendizaje.",2356.0,,,2591,0,7125,2047,166,20,2757,1442,,
KungFuPandaFighter,kungfupandafighter,FM,,,,,,,2030,0,5,1500,0,0,2447,1500,,
cluke,cluke,CM,Cristofer Luke Brezmes,AD,,,,,2287,43,6172,2132,-9,39,2341,1500,,
Taga-Daet,taga-daet,IM,Domingo Razo Ramos,SG,"IM and FIDE Trainer. Passionate and professional Chess trainer/ coach/ teacher since 1992. Highly capable of teaching beginners to advanced levels, but preferably children to help them establish a solid foundation in the game.
Speaks English, Deutsch, Nihongo ( a bit). 
Chess is the arena of the intellect.",2195.0,,,2316,-36,509,2030,-17,53,2702,1500,,
emirislamking,emirislamking,CM,Haceliyev İslam,AZ,,,,,2749,-15,12491,2471,39,472,3065,2101,,
SneakyNyte,sneakynyte,FM,,FR,,,,,2491,-55,301,1500,0,0,2747,1500,,
idvidal,idvidal,FM,Ismael Vidal ID FIDE: 3901718,VE,"Mi nombre es Ismael David Vidal Meléndez, nacido en 1996 en Venezuela. Actualmente Maestro Fide.",2323.0,,,2486,-50,1828,1881,0,5,2711,2046,,
DrGreateinstein,drgreateinstein,IM,Sanket Chakravarty,IN,The most Adventurous Chess Player at present!!,2357.0,,,2545,-17,2754,2272,156,14,2752,1500,,
Cellini,cellini,FM,,,,,,,2397,10,11028,1500,0,0,2400,2221,,
Arashy_89,arashy_89,IM,,,,,,,2638,-14,356,1500,0,0,2588,1500,,
Shalamberidze,shalamberidze,IM,,GE,,2358.0,,,2529,-21,1726,1406,0,2,2452,1500,,
universe64,universe64,NM,,US,,,,,2458,22,800,2024,0,3,2547,1500,,
ChessPlayer8x8,chessplayer8x8,IM,,,,,,,2759,38,674,2422,147,162,2908,1907,,
Knightrider100,knightrider100,WFM,Rutuja Bakshi,,,,,,2197,0,577,1918,16,12,2306,1500,,
Achyuth_Star,achyuth_star,CM,Achyuth Aravindhan,IN,Whatever it takes,2144.0,,,2093,-167,237,1779,33,57,2411,2020,,
jangarbarek,jangarbarek,GM,,,,,,,2457,13,2133,2519,73,84,3129,1500,,
Popopuiyt,popopuiyt,FM,Peter Lombaers,,,,,,2510,12,10747,2308,10,137,2366,2287,,
StanislavNovikov,stanislavnovikov,GM,,,,,,,2633,-12,1403,2616,76,26,2716,1500,,
udithj22,udithj22,CM,,,,,,,2255,27,148,2124,0,10,2563,1500,,
Kieu_Bich_Thuy,kieu_bich_thuy,WFM,,,,,,,2357,78,380,1979,52,48,2117,2174,,
Voldemator,voldemator,FM,Владимир Серебряков,,,2117.0,,,2069,-22,49667,1974,-79,255,2264,2009,,
greatchesscoach,greatchesscoach,IM,Yevhenii Yelisieiev,DE,"I am Yevhenii Yelisieiev, International Master and German Champion (U25), originally from Ukraine. 
I am a professional chess coach with more than 10 years of experience and a 43000+ subscribers YouTube channel with tons of valuable tips to improve your chess: www.youtube.com/@journeytograndmaster
Build a complete and holistic opening repertoire in 10 days:  https://www.journeytograndmaster.com/",2425.0,,,2548,-1,1428,2381,-137,18,2709,1500,,
alfrechesss,alfrechesss,FM,Chiappero Julio Alfredo,AR,,2238.0,,,2400,3,1980,1500,0,0,2685,1500,,
Kazan28,kazan28,GM,Lev Yankelevich,DE,,2496.0,,,2506,-66,353,2200,0,1,2596,1500,,
cmvaracalov,cmvaracalov,IM,Francisco Varacalli,AR,,2327.0,,,2614,27,1970,2434,0,13,2700,1488,,
chesscoachIM,chesscoachim,IM,Illia Golichenko,UA,"Hello, dear chess friends!

I’m Illia Golichenko, Chess coach and International Chess Master from Kyiv, Ukraine.
I have over 20 years of chess experience.

During my coaching career, I have worked with over 150 students from more than 35 countries, aged from 6 to 70

For more information about chess lessons, please contact me here or write to email.

email: ukrchesscoach@gmail.com",2425.0,,,2587,38,488,2493,65,63,2752,2282,,
RatkovicP,ratkovicp,FM,Ratkovic Petar,RS,,2302.0,,,2278,-23,2731,2296,-155,118,2506,1500,,
FleetWalker,fleetwalker,NM,James Altucher,US,,,2204.0,,2213,27,11456,2401,16,249,2048,2311,,
WattSchrott,wattschrott,FM,,,,,,,2437,-26,10955,2501,-50,778,2451,2416,,
MkrtchyanMariam,mkrtchyanmariam,WIM,Mariam Mkrtchyan,AM,,2353.0,,,2517,59,31,1500,0,0,2773,1500,,
kimstevenyap,kimstevenyap,IM,Kim Steven Yap,PH,My name is Kim Steven Yap and I am an International Master and a FIDE trainer.,2378.0,,,2516,-15,1997,2508,44,70,2635,1500,,
Karadenizaslani,karadenizaslani,FM,Tansel Turgut,US,,,,,2167,-56,9315,1938,0,2,2127,1500,,
legendreturns,legendreturns,GM,,,,,,,2883,44,64,1745,0,1,3199,1500,,
piotrek212,piotrek212,CM,Piotr Sygulski,PL,,2247.0,,,2389,42,19326,2543,37,1197,2598,2227,,
jankotracz,jankotracz,FM,Kosma Pacan-Milej,PL,,2435.0,,,2524,15,1310,2483,46,39,2748,1500,,
Raja_Senggol,raja_senggol,NM,,ID,,,,,2037,23,1144,2039,-158,57,1919,2160,,
MarceloPlaya,marceloplaya,IM,MI Marcelo Playa,AR,Maestro Internacional,2376.0,,,2416,7,6209,1500,0,0,1971,1500,,
belles-lettres,belles-lettres,IM,,,,,,,2637,-7,405,1926,0,3,2820,1500,,
akhairat,akhairat,CM,Ahmed Khairat,EG,"Chess is mental torture, so don't take it seriously; just enjoy it and play for fun :)",2190.0,,,2199,15,53596,2237,28,2411,2045,2117,,
zinebdinaabdi,zinebdinaabdi,WIM,nana red,DZ,,1950.0,,,2220,12,4740,2324,13,82,2261,1785,,
Skillerbabo,skillerbabo,FM,,DE,,,,,2276,22,4734,2358,-32,859,2686,1500,,
WesBoss,wesboss,NM,,,"some luck, no skill",,,,2188,54,19,2065,0,6,2497,2305,,
vlad10898,vlad10898,IM,Vladislav Bakhmatsky,UA,"My name is Vladislav Bakhmatsky, I am International Master from Ukraine. My current ELO rating is 2465.",2465.0,,,2806,6,2006,2207,0,1,2856,1500,,
Zeitnet,zeitnet,CM,,,,,,,2252,-18,650,1500,0,0,2402,1500,,
Heinza9,heinza9,CM,Heinz Georg,DE,"Schach ist schon ein Leben lang mein Hobby. Ca. 30 Pokale zeugen davon. 
Auch heute noch mit 66 Jahren machts mächtig Spaß. 
Nahschach klappt zwar zur Zeit nur wenig, aber die Quarantäne-Liga bei LiChess.org ist wirklich der Hit.
Kann ich echt jedem empfehlen.",2171.0,,,2276,11,8107,2344,9,510,1500,1500,,
Makham21,makham21,FM,,,,,,,2373,-9,379,2417,88,39,2487,1500,,
chessplayerpatzer,chessplayerpatzer,IM,,,"Hello, i am Himal Gusain , an International Master from India.
Contact me at himalgusain@yahoo.co.in for training games.",,,,2541,-39,212,1500,0,0,2372,1500,,
Ernur2008,ernur2008,FM,Ernur Amangeldy,KZ,,,,,2593,-4,346,1285,0,5,2991,1500,,
mariubaldo135,mariubaldo135,WIM,Maria Gisela Ubaldo Suarez,VE,"https://ratings.fide.com/card.phtml?event=3900630
WIM de Venezuela",2013.0,,,2057,-4,2227,1500,0,0,1433,1500,,
MayGM,maygm,WFM,Mairebis Castillo coca,CU,"WFM Mairebis Castillo Coca soy National Instructor ... Juego ajedrez desde los 8 años ... Es mi pasión y me encanta enseñar a niños y adolescentes !! Mis jugadores favoritos son Capablanca, Fischer y Judith Polgar.",2119.0,,,2103,-24,3963,2113,32,60,2472,2112,,
mauripoluthrona,mauripoluthrona,FM,Dimitrios Papakonstantinou,GR,"I have been playing chess my whole life, and I love the amount of energy this game has, especially the fact that the energy stays on your position when you 'feed' your pieces with activity. I am a chess coach and I believe that I can make anyone feel the energy like me and even more! Peak Fide: 2336 cost: 20-25$ 
Don't hesitate to contact me!",2302.0,,,2481,-5,519,1500,0,0,2496,1500,,
tomikapi2,tomikapi2,FM,Tomas Kapitanchuk,AR,"Tomas Kapitanchuk, argentinian FIDE Master with an International Master norm. Personalized training.
Please contact me via Facebook DM or mail: tkapitanchuk8@gmail.com",2191.0,,,2531,86,4041,2308,327,32,2752,1313,,
kubadaleko,kubadaleko,FM,Vanya Kuba,RU,"Коллекционирую шахматные книги.
Преподаю. Обращайтесь.",2285.0,,,2516,-3,4250,1500,0,0,2692,1500,,
EdgarRodrigues,edgarrodrigues,FM,Edgar Rodrigues,BR,"Aulas de Xadrez online,
Mestre FIDE desde 2014
Top rating FIDE 2364",,,,2481,7,10074,2476,20,414,2497,2171,,
nc_courage,nc_courage,FM,,US,,,,,2386,-154,657,1500,0,0,2525,1500,,
alik0001,alik0001,FM,,,,,,,2577,70,1078,2222,50,15,2727,1970,,
mc4chess,mc4chess,NM,,,,,,,2407,-63,1498,2322,47,56,2873,2135,,
MEGARAPTOR1,megaraptor1,IM,Cristian Barros Rivadeneira,EC,"Espero ser GM algún día!
Twitch proximamente... https://www.twitch.tv/im_megaraptor1

https://imgur.com/cCfmkfY

https://www.facebook.com/cristian.barros.7564
https://www.instagram.com/crisbarrosrivadeneira/",2343.0,,,2545,10,5142,2566,57,33,2810,1940,,
HCMB,hcmb,CM,,GB,,,,,2147,10,5319,2322,-73,369,2349,2224,,
theEuropean,theeuropean,FM,,,,,,,2249,0,280,2215,26,106,2305,1500,,
goldeen_king,goldeen_king,FM,Seyed Mehrab Khoshkalam,IR,,2308.0,,,2551,-4,643,2330,36,98,2711,1500,,
Romanator123,romanator123,NM,,GB,,,,,2422,41,2583,2402,78,99,2671,1304,,
Pere_Fouras,pere_fouras,FM,Павел Киселев,RU,,,,,2262,123,470,2408,144,175,2428,1977,,
mirciulica14,mirciulica14,FM,Talu Mircea,RO,"Băiat fin
https://www.twitch.tv/mirceatalu",,,,2608,9,5899,2397,-35,66,2965,1500,,
yg2kneatyy,yg2kneatyy,NM,,,,,,,2424,15,291,2125,0,10,2318,1500,,
Astroni,astroni,FM,,PS,,,,,2200,-3,12607,2245,-35,51,2180,1743,,
Mpaape,mpaape,CM,,_east-turkestan,,,,,2505,44,61,1500,0,0,2697,1500,,
salemyahi,salemyahi,CM,Mohamed salem Yahi,MR,,1909.0,,,2042,39,17109,1674,0,1,1886,1500,,
Perligero,perligero,CM,Persson Abrantes,MZ,"CM Persson Abrantes
African University Champion 2015
More than 4 Chess Olympiad Player

My time Zone is +2GMT.",2057.0,,,2216,14,3452,2252,-6,33,2013,1896,,
mitraasz,mitraasz,WIM,Mitra Asgharzadeh,IR,"استاد بین المللی بانوان وعضو تیم ملی
آموزش شطرنج به صورت آنلاین برای تمام سنین",,,,2353,-55,3102,1976,147,35,2357,1500,,
vennyice,vennyice,NM,Ven,US,"Part-time disease researcher on the incurable illness of ""opening theory."" Officially retired from OTB for nearly a decade. I hated engines first.",,2220.0,,2126,-12,442,2209,-42,40,2309,1500,,
rolly9891,rolly9891,NM,Rolly Parondo,TH,1+1=2,,,,2571,14,7103,2406,170,61,2748,1854,,
srm1,srm1,FM,Без имени,RU,,2200.0,2300.0,,2556,3,1962,2357,92,45,2829,1736,,
kl123,kl123,CM,Karl Emil Elmer Nielsen-Refs,DK,Phone only 🙏,2225.0,2103.0,,2238,184,929,2155,41,335,2397,2085,,
Dafnu,dafnu,FM,Daniel Núñez,CO,ID Fide: 4401255,2208.0,,,2366,1,10047,2375,53,65,2704,1500,,
Practice_Tailung,practice_tailung,CM,,MN,,2229.0,,,2401,-5,5181,2392,-52,261,2624,1500,,
DevinBooker01,devinbooker01,FM,Vaibhav Raut,IN,,2351.0,,,2326,174,21,1500,0,0,3000,1500,,
OlgaGut,olgagut,WIM,Olga Gutmakher,IL,,,,,2465,45,282,2231,0,8,2355,1500,,
XLiNt,xlint,CM,Sushrut Dahal,NP,"For Lessons:
+9779761679019 Whatsapp/Viber
Classical  2056| Rapid 2019| Blitz 1997

Hi, I'm Sushrut! Please look at my coach profile for more info!

https://lichess.org/coach/XLiNt

Youtube Stream: https://www.youtube.com/@ChessSenpai",2056.0,,,2289,19,3128,2310,25,145,2468,2162,,
Samid2002,samid2002,FM,Samid Eduardo Escalona Landi,VE,"https://ratings.fide.com/profile/3937437


samidescalona2002@gmail.com",2386.0,,,2769,-32,2444,2783,33,29,3002,1500,,
alonmindlin,alonmindlin,IM,,IL,,2428.0,,,2473,8,1790,2676,36,318,2791,1977,,
sahibsinghknight,sahibsinghknight,IM,SAHIB SINGH,IN,INTERNATIONAL MASTER,2376.0,,,2544,-21,4914,2637,19,595,2799,2314,,
Carrygun,carrygun,IM,,TR,,,,,2480,102,1237,1500,0,0,1500,1500,,
mgh1380,mgh1380,CM,matin ghaffarifar,IR,,,,,2560,56,1068,2147,-108,64,2529,2048,,
BlueJayBro,bluejaybro,CM,Joshua Terry,CA,Candidate Master and chess coach,2235.0,,,2578,41,133,2608,34,29,2802,1500,,
TheChessKiller3,thechesskiller3,FM,,CA,,,,,2633,13,1124,2560,62,57,2798,1500,,
Zurability,zurability,IM,Zura Javakhadze,US,"Hi, IM Zura over here, resided in Dallas, Texas. Originally from Georgia. 
On a quest to bring my rating over 2500 and claim GM title.  

Peace",2454.0,2553.0,,2350,-42,349,2188,0,4,2641,1685,,
keshav27,keshav27,CM,KESHAV SHRESTHA,NP,"केशव श्रेष्ठ नेपाल चेम्पियन 2006 ,2014
fide rating =2196 @ सन 2003",2196.0,,,2052,-129,4103,1141,-161,15,1955,1444,,
juanchesst,juanchesst,IM,,,,,,,2560,2,4459,1500,0,0,2808,1893,,
kirillgenius,kirillgenius,CM,Kirill Shcherbinin,RU,"CM FIDE TITLE
https://ratings.fide.com/profile/4180453
https://ratings.ruchess.ru/people/18089 

Приглашаю всех присоединяться к команде РФ на chess.com - https://www.chess.com/club/team-russia
Блог - https://www.chess.com/blog/kirillgenius
Youtube - https://www.youtube.com/channel/UCy-jvpmi8xySDxmVHt405fg",2208.0,,,2474,-13,16607,2239,-139,277,2600,2352,,
DoubleP,doublep,IM,Pierluigi Piscopo,IT,"Professional player, Fide Trainer. 
Author of the book ""La Siciliana-Istruzioni per l'uso""
I speak Italian, English, French",,,,2452,-1,12586,2167,0,7,2262,1864,,
anemih,anemih,FM,Anastasios Mihailidis,GR,Owner of https://chess-shop.gr,2235.0,,,2505,88,415,2057,0,11,2557,1743,,
AsanovTimur,asanovtimur,IM,Timur Ustinov,RU,"Экс чемпион Европы по блицу среди мужчин турнир ""Б"" 1-2 место  Франция  2006 год 
Former European Men's Blitz Champion tournament "" B "" 1 - 2 place  France 2006
 
Воспитал чемпионку мира по шахматам до 8 и 9 лет Бибисара Ассаубаева

My games here - Мои партии здесь
 https://www.365chess.com/players/Timur_Asanov/?p=1&start=100",2444.0,,,2510,-7,1049,2515,26,294,2600,2231,,
MarkosianDavid,markosiandavid,GM,Давид,RU,"Индивидуальные занятия от начинающих до продвинутого уровня.
Дебюты, миттельшпиль, эндшпиль, психология игры, эмоциональный интеллект.",2395.0,,,2610,7,19494,2603,9,2349,2687,2450,,
SheeshBroOmg,sheeshbroomg,FM,,,,,,,2590,-63,304,1779,0,3,2959,1500,,
Axf7,axf7,NM,,IT,,,,,2178,90,6765,2177,151,26,1990,1500,,
Lelouch_Vi_Brittania,lelouch_vi_brittania,CM,,DE,,2200.0,,,2246,-11,6286,2512,120,1515,2337,2360,,
molinajesus2801,molinajesus2801,CM,Jesus Alberto Molina Sumoza,VE,,,,,2427,-15,5126,1977,-14,143,2554,1500,,
Aleksandar-Topalov,aleksandar-topalov,CM,,RS,,,,,2414,-12,7567,1500,0,0,2462,1500,,
vasiukov,vasiukov,NM,Cumali ÜNVER,TR,,,,,2496,75,2008,2726,76,141,2286,2260,,
Guzman70,guzman70,CM,,ES,CM,,,,2308,-13,30522,2335,-17,597,2456,2272,,
jennys2600,jennys2600,WFM,Jennys Soler Guerra,CU,Soy Maestra Fide de Ajedrez ...Finalista del campeonato de cuba.,2047.0,,,2066,-111,3764,2131,-52,67,2208,1381,,
Smirnov_Alexandr,smirnov_alexandr,FM,Александр Смирнов,,,,,,2425,78,1117,2469,100,41,2518,1500,,
VladTheBest,vladthebest,CM,,RU,,,,,2472,-30,476,1500,0,0,2801,1500,,
FunnyBlani,funnyblani,WCM,Blanka Ejsymont,,,,,,2090,-110,394,2265,27,419,2404,2081,,
patryk2001,patryk2001,IM,Patryk Chylewski,PL,"Coach and streamer
https://www.ostre-debiuty.pl/trenerzy/patryk-chylewski",,,,2612,25,2362,2459,-185,73,2940,1500,,
DevShah,devshah,CM,,,,,,,2369,77,186,2122,15,148,2667,1741,,
JamesColeman,jamescoleman,CM,James Coleman,GB-ENG,Long since retired from OTB chess - I am now an old man with rapidly failing eyesight randomly throwing a few pieces around online....,2207.0,,215.0,2473,28,656,2438,18,98,2430,2170,,
mux77,mux77,FM,Dumit Semerene,VE,ID: 3901149,,,,2500,3,21934,2422,0,11,2753,1500,,
LeoTobares,leotobares,FM,Leandro Tobares,AR,,,,,2332,-9,5272,2223,113,15,2123,1683,,
imivangalic,imivangalic,IM,IVAN GALIC,BA,Born in 1988 in Mostar.,2429.0,,,2552,-4,210,1948,0,2,2620,1500,,
imzchessacademy2020,imzchessacademy2020,CM,,NA,,,,,2259,-21,10861,2331,15,623,2189,2052,,
sunnmoon17,sunnmoon17,FM,,EU,❤️‍🔥,2311.0,,,2601,4,1696,1500,0,0,2801,1500,,
Duochess,duochess,WFM,Duochess Duochess,ES,"Duochess es una Escuela de ajedrez, dirigida por grandes expertos  y amantes del mundo del ajedrez. Nuestra pasión es trabajar y fomentar todos lo que rodea al ajedrez como es la organización de eventos, venta de material, ajedrez social, educativo y de competición. 
Nuestro lema es Pasión por el Ajedrez y lo llevamos a cabo cada día.
",,,,2228,2,1479,2072,-115,15,2372,1500,,
EDGARDZANETTE,edgardzanette,NM,EDGARD ZANETTE,BR,"NM Edgard Vinícius Cacho Zanette

Dr. Edgard Vinícius Cacho Zanette - Professor de Filosofia",2202.0,,,2223,14,19354,2339,-118,28,2242,1500,,
Reinalbo,reinalbo,IM,Roi Reinaldo Castiñeira,ES,Soy bastante malo,2505.0,,,2454,-29,854,1649,0,2,2491,1678,,
Mohammadian75,mohammadian75,FM,Mohammad Mohammadian,IR,,,,,1766,27,2681,2163,0,1,1610,1500,,
sid-al_1979,sid-al_1979,FM,,BY,,2309.0,,,2652,13,7312,2671,34,100,2738,1500,,
Patagonico2020,patagonico2020,CM,Alexsandro Javier Martinez,AR,"CM, Master Candidate Fide.",2220.0,,,2173,-85,5249,2236,0,83,2276,1500,,
fourqueens13,fourqueens13,NM,,US,,,,,2351,-26,4079,2508,191,114,2368,2245,,
scabies,scabies,NM,,,,,,,2271,3,15572,2116,-1,13,2503,1500,,
amaa18,amaa18,WIM,Mobina Alinasab,IR,,2317.0,,,2523,4,2539,1921,86,27,2528,1500,,
Matinghffarifar,matinghffarifar,FM,Matin Ghaffarifar,IR,Live in turkey,2309.0,,,2491,-6,1839,2821,11,152,2711,2222,,
rosa_del_nilo,rosa_del_nilo,WFM,,,,,,,2299,79,153,2171,-47,12,2248,1745,,
cthake,cthake,CM,,MT,,,,,2041,21,10678,2065,-6,334,1964,1730,,
NikolaN98,nikolan98,IM,Nikola Nikolovski,MK,"International Master, FIDE Instructor, Psychologist",2407.0,,,2624,60,585,2426,168,15,2490,2244,,
LuisFlaquer,luisflaquer,FM,LUIS FLAQUER,US,,2152.0,2280.0,,2182,4,20962,2316,0,10,2104,2092,,
Khalilmousavii,khalilmousavii,GM,Mousavi Seyed Khalil,IR,"️Grandmaster
Iran National Team
World U10 Champion
Asian University Gold Medalist",2479.0,,,2861,71,3092,2231,65,15,3023,1641,,
Gro23,gro23,IM,,RU,"https://i.imgur.com/MGNukgZ.jpg; 
https://i.imgur.com/0bcfe9X.jpg",,,,2151,-43,25278,2106,-120,85,2230,1381,,
Doha_Qatar,doha_qatar,FM,,SI,"️️Humble chess student. Don't get mad. It's just blitz and bullet. I currently play in Austria (Bundesliga), Slovenia (Super league) and Bosnia (Premijer liga) leagues.
️I would love to play for German, Croatian and Serbian teams.
Private lessons are 10€/hour. Currently I have 23 students.
My fee for playing for your Lichess team is 15 euros per tournament.
If you are interested, please DM me.",2312.0,,,2604,18,6658,2449,218,17,2830,1977,,
JiaHaoxiang,jiahaoxiang,IM,Haoxiang Jia,CN,"Chess player
Chess coach",2331.0,,,2604,-112,246,2355,-54,23,2801,1739,,
nikhildixit,nikhildixit,IM,Nikhil Dixit,IN,,2400.0,,,2500,-8,3621,2177,233,15,2739,1830,,
Larciano,larciano,WFM,,,,,,,2136,-26,10604,1500,0,0,2162,1500,,
ChessWeeb,chessweeb,GM,Denes Boros,US,"Chess Edutainment presented by Grandmasters Denes Boros, Illia Nyzhnyk, and Ashwin Jayaram.
Watch us live at www.twitch.tv/chessweeb 
For educational content, check out our YouTube channel at 
www.youtube.com/channel/UCOwAGy9jDBJH95Q0uosvvyg 
To stay in touch with us, check out our social media at
www.facebook.com/ChessWeebs
www.twitter.com/ChessWeeb
https://discord.com/invite/8FaTTKR",2429.0,2507.0,,2710,-43,4712,2553,35,1466,3000,2233,,
Kondor75,kondor75,IM,Rodin Dmitry,_earth,,2400.0,,,2314,15,9338,2444,62,59,2338,1500,,
Philjr95,philjr95,NM,Rolando Andador,,🇧🇪,,,,2277,-35,688,1500,0,0,2387,1500,,
Cresswell,cresswell,FM,,,,,,,2679,-9,4349,1500,0,0,2938,1500,,
Nomin-Erdene_D,nomin-erdene_d,IM,,,,,,,1500,0,0,1500,0,0,2321,1500,,
HaraldEtuna,haraldetuna,FM,Harald Lögdahl,SE,"https://i.imgur.com/vIh6uJu.jpg
https://www.studera.com/schack/lottning.htm",2224.0,,,2167,-9,35399,2278,-27,757,2377,1500,,
Kumi,kumi,CM,,,,,,,2479,8,7620,2237,173,30,2703,1500,,
gm3t,gm3t,IM,Tran Thanh Tu,JP,,2420.0,,,2571,1,1910,2591,0,144,2548,2529,,
tilsiav,tilsiav,WIM,Tilsia Carolina Varela La Madrid,ES,"Soy la Maestra Internacional Tilsia Carolina Varela, cinco veces olímpica por Venezuela y dos veces campeona nacional de mi país. Soy también Abogada. Me apasiona el ajedrez y disfruto transmitiendo mis conocimientos y experiencia a mis alumnos.",,,,2592,33,344,2137,0,3,2737,1500,,
halki,halki,WNM,,,,1887.0,,,2000,10,3066,2291,54,83,2167,2221,,
CaissaCubana,caissacubana,WFM,Maydelín Cárdenas Ballester,CU,,,,,2090,8,3700,2068,-28,141,2292,1500,,
Kusox,kusox,NM,,,,,,,2261,-3,647,2006,0,8,2492,1542,,
hhcuuid,hhcuuid,GM,Holden Hernandez Carmenate,,,,,,2537,-11,5659,1500,0,0,2564,1500,,
ajam73,ajam73,WIM,Maja Velickovski,RS,,2168.0,,,2131,2,4771,1943,-134,29,2381,1844,,
AjedrezHN,ajedrezhn,IM,Ricardo Urbina,HN,"Maestro de Internacional de Ajedrez, FIDE Trainer, Aprendiz de todo lo demás",2245.0,,,2462,30,1284,2079,3,91,2504,1500,,
ArthasMennethil,arthasmennethil,FM,Kebert Solares Orozco,CU,Disponible para clases online: https://lichess.org/coach/ArthasMennethil,2390.0,,,2539,-12,3203,2582,0,7,2657,1500,,
Bassket,bassket,FM,,RU,,2190.0,,,2280,20,10125,2430,129,104,2625,1500,,
JosephTruelsonRAR,josephtruelsonrar,NM,,US,,,2273.0,,2386,-24,1833,2471,6,145,2630,2426,,
whatever04,whatever04,WFM,,,,,,,2229,21,105,1950,0,3,2260,1500,,
